Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
17040;Pereire - Ternes;OUI;48;42;6;2;4;OUI;OUI;2023-11-05T20:41:12+01:00;Paris
9022;Rossini - Laffitte;OUI;33;30;3;3;0;OUI;OUI;2023-11-05T20:37:03+01:00;Paris
1001;Quai de l'Horloge - Pont Neuf;OUI;17;4;12;12;0;OUI;OUI;2023-11-05T20:42:52+01:00;Paris
19003;Quai de la Seine;OUI;24;6;18;10;8;OUI;OUI;2023-11-05T20:41:30+01:00;Paris
19105;Ambroise Rendu - Porte Brunet;OUI;17;11;6;0;6;OUI;OUI;2023-11-05T20:42:34+01:00;Paris
92007;Pesaro - Préfecture;OUI;22;17;4;1;3;OUI;OUI;2023-11-05T20:27:04+01:00;Nanterre
15112;Vigée-Lebrun - Anselme Payen;OUI;24;22;2;1;1;OUI;OUI;2023-11-05T20:38:54+01:00;Paris
16026;Ranelagh - Mozart;OUI;23;19;3;3;0;OUI;OUI;2023-11-05T20:37:59+01:00;Paris
7025;Octave Gréard - Tour Eiffel;OUI;33;26;6;5;1;OUI;OUI;2023-11-05T20:38:32+01:00;Paris
19026;Place de Rhin et Danube;OUI;17;15;2;1;1;OUI;OUI;2023-11-05T20:40:15+01:00;Paris
6001;Institut de France;OUI;17;13;4;1;3;OUI;OUI;2023-11-05T20:42:25+01:00;Paris
11002;Roquette - Thiéré;OUI;23;4;19;13;6;OUI;OUI;2023-11-05T20:37:49+01:00;Paris
19015;Thionville - Ourcq;OUI;24;19;4;0;4;OUI;OUI;2023-11-05T20:42:32+01:00;Paris
12111;Claude Decaen - Cannebière;OUI;27;24;3;2;1;OUI;OUI;2023-11-05T20:41:24+01:00;Paris
26003;Argenteuil - Voltaire;OUI;16;1;13;7;6;OUI;OUI;2023-11-05T20:37:07+01:00;Asnières-sur-Seine
8034;Berri - Haussmann;OUI;35;33;2;1;1;OUI;OUI;2023-11-05T20:38:21+01:00;Paris
17004;Legendre - Clichy;OUI;40;30;7;3;4;OUI;OUI;2023-11-05T20:40:30+01:00;Paris
5032;Panthéon - Valette;OUI;39;34;4;1;3;OUI;OUI;2023-11-05T20:40:45+01:00;Paris
8036;Lisbonne - Monceau;OUI;33;27;6;2;4;OUI;OUI;2023-11-05T20:37:53+01:00;Paris
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;17;2;2;0;OUI;OUI;2023-11-05T20:41:24+01:00;Paris
12151;Gare de Lyon - Place Louis Armand;OUI;60;59;1;0;1;OUI;OUI;2023-11-05T20:37:32+01:00;Paris
12128;Pyramide - Ecole du Breuil;OUI;34;25;8;5;3;OUI;OUI;2023-11-05T20:42:57+01:00;Paris
18107;Chartres - La Charbonnière;OUI;34;28;5;1;4;OUI;OUI;2023-11-05T20:35:21+01:00;Paris
8010;Liège - Moscou;OUI;17;15;1;1;0;OUI;OUI;2023-11-05T20:42:54+01:00;Paris
9028;Moncey - Blanche;OUI;17;16;1;0;1;OUI;OUI;2023-11-05T20:34:56+01:00;Paris
19101;Square Simon Bolivar;OUI;24;19;4;0;4;OUI;OUI;2023-11-05T20:42:41+01:00;Paris
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;44;4;3;1;OUI;OUI;2023-11-05T20:39:54+01:00;Paris
14003;Schoelcher - Raspail;OUI;50;32;18;4;14;OUI;OUI;2023-11-05T20:43:57+01:00;Paris
26002;Redoute - Les Courtilles;OUI;40;10;30;21;9;OUI;OUI;2023-11-05T20:40:33+01:00;Asnières-sur-Seine
11113;Richard Lenoir - Republique;OUI;58;6;51;41;10;OUI;OUI;2023-11-05T20:42:58+01:00;Paris
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;36;3;3;0;OUI;OUI;2023-11-05T20:43:04+01:00;Paris
14020;Cimetière de Montrouge;OUI;58;53;4;1;3;OUI;OUI;2023-11-05T20:39:09+01:00;Paris
16039;Exelmans - Versailles;OUI;49;23;25;23;2;OUI;OUI;2023-11-05T20:39:15+01:00;Paris
5018;Mutualité;OUI;37;3;33;27;6;OUI;OUI;2023-11-05T20:42:09+01:00;Paris
11023;Saint-Maur - Roquette;OUI;46;37;8;4;4;OUI;OUI;2023-11-05T20:36:26+01:00;Paris
33017;Anatole France - President Roosevelt;OUI;29;13;15;2;13;OUI;OUI;2023-11-05T20:39:47+01:00;Aubervilliers
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;15;21;9;12;OUI;OUI;2023-11-05T20:41:00+01:00;Champigny-sur-Marne
20112;Jourdain - Place des Grandes Rigoles;OUI;22;16;6;0;6;OUI;OUI;2023-11-05T20:36:37+01:00;Paris
11047;Amelot - Saint-Sébastien;OUI;30;0;30;25;5;OUI;OUI;2023-11-05T20:43:07+01:00;Paris
18011;Pajol - Place Herbert;OUI;39;30;7;5;2;OUI;OUI;2023-11-05T20:42:31+01:00;Paris
19043;Delphine Seyrig - Général Leclerc;OUI;53;46;4;2;2;OUI;OUI;2023-11-05T20:43:19+01:00;Pantin
18031;Place Albert Kahn;OUI;0;0;0;0;0;NON;NON;2023-07-03T10:59:24+02:00;Paris
20042;Pyrénées - Emmery;OUI;40;24;16;1;15;OUI;OUI;2023-11-05T20:43:31+01:00;Paris
42706;Roger Salengro - Fontainebleau;OUI;25;23;2;1;1;OUI;OUI;2023-11-05T20:34:26+01:00;Le Kremlin-Bicêtre
15067;Desaix - Edgar Faure;OUI;12;9;3;2;1;OUI;OUI;2023-11-05T20:37:24+01:00;Paris
15104;Hôpital Européen Georges Pompidou;OUI;64;36;28;27;1;OUI;OUI;2023-11-05T20:42:10+01:00;Paris
43401;Gare RER - Canadiens;OUI;45;35;10;2;8;OUI;OUI;2023-11-05T20:42:33+01:00;Joinville-le-Pont
44006;Concorde - Stalingrad;OUI;35;26;6;3;3;OUI;OUI;2023-11-05T20:43:48+01:00;Vitry-sur-Seine
17030;Pereire - Rennequin;OUI;23;15;8;5;3;OUI;OUI;2023-11-05T20:39:52+01:00;Paris
19120;Carducci - Place Hannah Arendt;OUI;27;20;5;0;5;OUI;OUI;2023-11-05T20:43:48+01:00;Paris
11027;Saint-Ambroise - Parmentier;OUI;38;7;30;16;14;OUI;OUI;2023-11-05T20:43:43+01:00;Paris
5004;Saint-Jacques - Val de Grâce;OUI;19;12;6;4;2;OUI;OUI;2023-11-05T20:41:59+01:00;Paris
31022;Mairie de Montreuil;OUI;52;49;1;0;1;OUI;OUI;2023-11-05T20:40:34+01:00;Montreuil
12114;Victor Hugo - Jeanne Jugan;OUI;28;19;8;5;3;OUI;OUI;2023-11-05T20:41:24+01:00;Paris
46002;Rouget de Lisle;OUI;35;1;26;10;16;OUI;OUI;2023-11-05T20:42:30+01:00;Choisy-le-Roi
21312;Lucie Aubrac - Fort;OUI;30;25;4;0;4;OUI;OUI;2023-11-05T20:41:24+01:00;Issy-les-Moulineaux
18003;Cimetière de Montmartre;OUI;43;34;9;4;5;OUI;OUI;2023-11-05T13:06:06+01:00;Paris
